   2.9839907e+00	   3.6863277e+00	   5.0727841e+00	
   2.1012275e+00	   3.1946529e+00	   3.5720867e+00	
   1.6372942e+00	   3.3895564e+00	   2.7834001e+00	
   1.2611722e+00	   2.1586489e+00	   2.1439927e+00	
   5.2015759e-01	   1.0397310e+00	   8.8426790e-01	
   2.1533717e+00	   3.0592614e+00	   3.6607320e+00	
   1.6829825e+00	   2.3976682e+00	   2.8610703e+00	
   2.3189183e+00	   3.3891154e+00	   3.9421610e+00	
   5.4345341e-01	  -1.6088094e+00	   9.2387080e-01	
   3.3218345e+00	   5.3233380e+00	   5.6471187e+00	
   2.4872039e+00	   4.5883851e+00	   4.2282467e+00	
   4.3337375e-01	  -4.7372244e-01	   7.3673538e-01	
   3.0570596e+00	   3.2675262e+00	   5.1970014e+00	
   1.4124222e+00	   2.6564449e+00	   2.4011177e+00	
   2.3022216e+00	   2.1477796e+00	   3.9137768e+00	
   2.2194624e+00	   1.8747887e+00	   3.7730861e+00	
   1.1217989e+00	   2.3659718e+00	   1.9070581e+00	
  -8.6139976e-01	  -1.8587248e+00	  -1.4643796e+00	
   2.5355553e+00	   4.8814506e+00	   4.3104440e+00	
   1.6579627e+00	   1.3678102e+00	   2.8185366e+00	
   1.4021411e+00	   1.5711669e+00	   2.3836399e+00	
   2.4189127e+00	   3.8376833e+00	   4.1121516e+00	
   1.3103193e+00	   2.4412292e+00	   2.2275428e+00	
   2.6711910e+00	   4.4117698e+00	   4.5410248e+00	
   2.1508975e+00	   3.3921528e+00	   3.6565257e+00	
   1.0086811e+00	   1.3140047e+00	   1.7147579e+00	
   2.8368299e+00	   3.7536284e+00	   4.8226109e+00	
   2.4745090e+00	   4.1278724e+00	   4.2066652e+00	
   3.2521659e+00	   4.5432419e+00	   5.5286820e+00	
   1.1073773e+00	   2.0261958e+00	   1.8825415e+00	
   1.1047258e+00	   2.5990696e+00	   1.8780338e+00	
   2.3133259e+00	   1.5220103e+00	   3.9326541e+00	
   2.6670332e+00	   5.5632754e+00	   4.5339564e+00	
   2.8281166e+00	   3.6947945e+00	   4.8077981e+00	
   2.0065093e+00	   4.1498502e+00	   3.4110658e+00	
   1.7641078e+00	   3.9898798e+00	   2.9989833e+00	
   2.6528211e+00	   2.7071199e+00	   4.5097959e+00	
